home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Newcastle, Everton,A, 18.808598944, 22.8960919317, 23.4533494543, 21.8517516289, 21.5633424355, 22.3719250432, 22.7874309529, 22.804848241
Southampton, Leicester,A, 19.200264234, 22.7052603752, 23.2730215854, 21.6704329476, 21.3810219935, 22.1771882011, 22.5982417637, 22.6133588793
Swansea, Man City,A, 19.7507830558, 23.3646010346, 23.9004347128, 22.2731726737, 22.0239497878, 22.8021882011, 23.2402170724, 23.2726995386
West Ham, Arsenal,D, 19.6577236981, 23.2700915836, 23.8055837643, 22.17927596, 21.9129414622, 22.7218388561, 23.1056879244, 23.175783239
Chelsea, Southampton,H, 20.2997059192, 23.8548869053, 24.3775891479, 22.7267212155, 22.4991483587, 23.29607038, 23.6916254244, 23.7870301828
Leicester, Crystal Palace,A, 20.0504860445, 23.593625644, 24.1327331808, 22.4728352052, 22.2504600061, 23.032496836, 23.4431654655, 23.5258583854
Man City, Tottenham,H, 20.6392178125, 24.0878595814, 24.6286009494, 23.0056220904, 22.7491590521, 23.5255124482, 23.9419185827, 24.0298906435
Stoke, West Ham,A, 20.4142096768, 23.9545996695, 24.4937694887, 22.8707906297, 22.6227222705, 23.399415957, 23.8295590321, 23.9076684212
Bournemouth, Liverpool,A, 20.8344329429, 24.4733546575, 25.0006632438, 23.3984502042, 23.1299073931, 23.9121376224, 24.3283121493, 24.4235414371
West Brom, Man United,A, 21.4949642563, 25.0105447402, 25.5192457849, 23.9261097787, 23.6608808444, 24.438671619, 24.8736141627, 24.9607315198
Everton, Swansea,H, 21.9654927948, 25.5119121057, 26.0252255457, 24.4068790094, 24.1666611912, 24.9414239126, 25.3814627315, 25.4676439622
Arsenal, Liverpool,D, 21.7748169152, 25.9150476041, 26.4343164548, 24.7883818996, 24.5856556046, 25.3509161864, 25.7882423925, 25.882008603
Burnley, Tottenham,A, 21.6755575907, 26.4640672119, 26.9898720103, 25.2814051554, 25.1456556046, 25.8957384429, 26.3541275987, 26.4310282109
Everton, Chelsea,D, 21.4417625041, 26.2813832292, 26.7919828283, 25.1948666939, 24.9603029826, 25.7251958073, 26.1991595039, 26.2318756685
Leicester, Man United,D, 21.1924560119, 26.1913832292, 26.7064158179, 25.1241596232, 24.887157737, 25.6563335318, 26.1139438981, 26.1297355907
Stoke, West Brom,H, 21.0835231815, 26.5785513708, 27.0884382899, 25.1071141686, 25.2757291656, 26.0464434219, 26.5072023251, 26.5151981458
Swansea, Crystal Palace,D, 21.4998589196, 26.5684842567, 27.076944037, 25.4675792849, 25.2641684719, 26.0386828898, 26.4844750524, 26.4929759235
West Ham, Newcastle,A, 21.0471907342, 26.3776527002, 26.9011198612, 25.2360003375, 25.0863906942, 25.8550310851, 26.3041471835, 26.3014865618
Bournemouth, West Ham,D, 21.5348114466, 26.7502461317, 27.2732128844, 25.6197212678, 25.4532545995, 26.2218482409, 26.6825875505, 26.6743679178
