Season, Home, Away, HG, AG, Result, Before: P[Home], Before: P[Draw], Before: P[Away], Before: Sum, After: P[Home], After: P[Draw], After: P[Away], After: Sum
14-15, Leicester, Tottenham, 1, 2, A, 0.223715271473, 0.372253495551, 0.404031232976, 1.0, 0.164118394771, 0.372253495551, 0.463628109678, 1.0
14-15, Man United, Newcastle, 3, 1, H, 0.571577484364, 0.331943479268, 0.0964790363678, 1.0, 0.635840861709, 0.331943479268, 0.0322156590224, 1.0
14-15, Sunderland, Hull, 1, 3, A, 0.423402340234, 0.355895589559, 0.220702070207, 1.0, 0.259155715572, 0.452511251125, 0.288333033303, 1.0
14-15, Swansea, Aston Villa, 1, 0, H, 0.482993197279, 0.346452866861, 0.17055393586, 1.0, 0.534693877551, 0.346452866861, 0.118853255588, 1.0
14-15, West Brom, Man City, 1, 3, A, 0.123858836354, 0.342689739747, 0.5334514239, 1.0, 0.123858836354, 0.342689739747, 0.5334514239, 1.0
14-15, Aston Villa, Sunderland, 0, 0, D, 0.369594208421, 0.363116784149, 0.26728900743, 1.0, 0.369594208421, 0.363116784149, 0.26728900743, 1.0
14-15, Hull, Leicester, 0, 1, A, 0.375400867761, 0.371250707414, 0.253348424826, 1.0, 0.300735710244, 0.371250707414, 0.328013582343, 1.0
14-15, Man City, Burnley, 2, 2, D, 0.677026242827, 0.277580759559, 0.0453929976143, 1.0, 0.554214971952, 0.349822683603, 0.0959623444452, 1.0
14-15, Newcastle, Everton, 3, 2, H, 0.294896392939, 0.382194934766, 0.322908672295, 1.0, 0.365406753645, 0.425441289332, 0.209151957023, 1.0
14-15, QPR, Crystal Palace, 0, 0, D, 0.352166443978, 0.376789463638, 0.271044092384, 1.0, 0.352166443978, 0.376789463638, 0.271044092384, 1.0
14-15, Southampton, Chelsea, 1, 1, D, 0.181410043232, 0.358330562022, 0.460259394746, 1.0, 0.263269038909, 0.40324742268, 0.333483538411, 1.0
