home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Newcastle, Bournemouth,A,7.125030512,15.93774328,16.42077459,15.36060364,15.06895037,15.39113357,16.70015418,15.5772656
Southampton, Burnley,A,6.799274423,15.53136209,16.00439234,15.06011103,14.67381086,14.96302634,16.28627244,15.16970258
Stoke, Leicester,D,6.799010826,15.90269391,16.38589523,15.44161392,15.05161487,15.33760452,16.65408853,15.54258393
West Ham, Liverpool,A,6.67139488,16.36977576,16.85101151,15.91452032,15.53265095,15.81973181,17.11407013,16.02293328
Chelsea, Man United,H,7.116231853,16.72932633,16.82789012,15.90289241,15.52095505,15.8141327,17.10270649,16.01500576
Everton, Watford,H,7.540207104,17.12105647,17.22349452,16.2917813,15.90731868,16.210461,17.50049655,16.41500576
Man City, Arsenal,H,7.478549229,17.64225174,17.76306286,16.75874166,16.41912971,16.74747217,18.02919745,16.93583909
Tottenham, Crystal Palace,H,7.869874771,18.26465838,18.3654725,17.33778045,17.03780237,17.3442113,18.66783503,17.54754122
Arsenal, Tottenham,H,7.821246148,18.18568174,18.30225411,17.24582643,16.95687752,17.26677767,18.58828957,17.46976344
Burnley, Swansea,H,8.186311414,18.61394727,18.72616715,17.70415976,17.38544894,17.71122212,19.0183971,17.91280141
Crystal Palace, Everton,D,8.579571411,18.60946798,19.09759573,18.08206674,17.37382104,17.70019676,19.0183971,17.89619012
Leicester, Man City,A,8.429847901,19.18244748,19.6280997,18.62814182,17.93935663,18.25602498,19.61776618,18.46916961
Liverpool, Southampton,H,8.390084153,19.7672428,20.20101637,19.17986596,18.5107852,18.82567018,20.19599748,19.06665389
Man United, Newcastle,H,8.772162318,20.41626926,20.82230216,19.77747552,19.17813633,19.50779842,20.86957261,19.69657515
West Brom, Chelsea,A,8.74903306,20.95301575,21.32891009,20.3051351,19.71005123,20.03904842,21.4171716,20.21871383
Watford, West Ham,H,8.736612005,21.35408527,21.73774987,20.29948538,20.10111268,20.44138388,21.80847594,20.61656329
West Ham, Leicester,D,9.131301147,21.73756943,22.11925276,20.68098827,20.48042302,20.81525775,22.17629204,21.00074408
Crystal Palace, Stoke,H,9.568017432,22.15685664,22.5386076,21.06987716,20.89478767,21.23724728,22.61107464,21.41959225
Liverpool, Chelsea,D,9.97835219,22.54646703,22.92966905,21.0586412,21.2970223,21.62790546,22.57792547,21.80878144
Newcastle, Watford,A,9.883319716,22.40516268,22.79483759,20.90308565,21.15577936,21.47547303,22.43826067,21.65660753
Swansea, Bournemouth,D,10.28575978,22.7732261,23.15530271,21.28458854,21.52048525,21.84413142,22.80607676,22.02592571
Tottenham, West Brom,D,10.2352601,22.34311858,22.80957071,21.03918977,21.14073841,21.47062088,22.36929515,21.69665741
Burnley, Arsenal,A,10.60001651,22.86187356,23.3010237,21.54811834,21.64868894,21.9630958,22.87906575,22.21106071
Southampton, Everton,H,10.56429717,23.33498113,23.7642664,21.96116182,22.12145359,22.44425522,23.34250551,22.70488787
Leicester, Tottenham,H,10.47678739,23.02953001,23.47158347,21.67052142,21.83299205,22.15423639,23.046389,22.39972355
Watford, Man United,A,10.36522186,23.51295542,23.95005237,22.15129065,22.31447353,22.63531747,23.52257948,22.88226031
West Brom, Newcastle,D,10.76250188,23.46836233,23.92719523,22.14551031,22.28057522,22.60444647,23.48879569,22.8599886
Bournemouth, Burnley,A,10.5306323,23.2286504,23.70379097,21.97884364,22.05774914,22.35393937,23.2531936,22.62052303
Chelsea, Swansea,H,10.97511185,23.87800105,24.37891372,22.63963659,22.76989307,23.00799135,23.92779677,23.3280702
Everton, West Ham,H,11.37050054,24.24559881,24.36755009,22.63398687,22.75245121,23.38051883,24.29858329,23.70251954
Man City, Southampton,H,11.78476709,24.86568976,25.02980174,23.26770043,23.4275902,23.99558844,24.97318647,24.32235425
Stoke, Liverpool,A,11.61790389,25.38361805,25.53273552,23.79536001,23.9382285,24.504665,25.47193958,24.83700191
Arsenal, Man United,A,11.38795686,25.28350556,25.4407815,23.71443515,23.82971042,24.39577611,25.39147981,24.73085666
Chelsea, Newcastle,H,11.90037177,25.94284622,26.04604466,24.31717488,24.48793826,25.04064023,26.03345512,25.39752333
Leicester, Burnley,H,12.37076739,26.42223261,26.50928736,24.74875383,24.96793826,25.52067825,26.51654691,25.87690971
Stoke, Swansea,H,12.79552671,26.87954968,26.95665578,25.18033277,25.41719831,25.9826021,26.95633749,26.33922127
Watford, Tottenham,D,12.78424488,26.7862661,26.87468857,25.08942368,25.33483397,25.89548776,26.84237737,26.25611878
West Brom, Crystal Palace,D,13.19729629,26.7862661,26.87468857,25.4498888,25.32306926,25.88653922,26.84237737,26.25611878
Bournemouth, Southampton,D,13.59216403,27.1672743,27.23515368,25.82198182,25.68564236,26.24752576,27.19869921,26.62335042
Man City, West Ham,H,14.02436516,27.80209897,27.87932546,26.48599245,26.39141019,26.82753766,27.87298828,27.28882264
Burnley, Watford,H,14.4578613,27.77385038,27.85620407,26.46865141,26.37978228,26.80172397,27.83569224,27.27758669
Crystal Palace, Bournemouth,D,14.85107799,27.72143948,27.80244063,26.43531807,26.3190088,26.73036926,27.77124541,27.25608131
Newcastle, Leicester,A,14.69654276,27.64530312,27.72729612,26.36555063,26.2312895,26.65405052,27.68352611,27.18020362
Swansea, West Brom,H,15.1511528,27.63393948,28.07613333,26.33631087,26.5765276,27.00168032,27.6717614,27.53247635
Tottenham, Stoke,H,15.57421177,28.21966898,28.68913973,26.91913295,27.19520026,27.58784936,28.27450113,28.12578811
West Ham, Chelsea,H,15.5196051,27.77522454,28.24974579,26.52338827,26.76212939,27.14993606,27.83450113,27.68461164
Liverpool, Everton,D,15.46923439,27.50200049,27.98188865,26.37413454,26.45279306,26.87241911,27.52775266,27.45326404
Man United, Man City,A,15.32479719,27.48996548,27.94873948,26.35699168,26.42993592,26.85941803,27.51645323,27.43116459
Southampton, Arsenal,D,15.74122097,27.46419229,27.90667849,26.31351342,26.40276201,26.85320041,27.49497095,27.40007651
Burnley, Stoke,H,16.18770994,27.86023189,28.30215871,26.29617238,26.80055206,27.24664303,27.87428129,27.8076852
Crystal Palace, Watford,H,16.5661145,27.83257702,28.28530478,26.66033423,26.76721873,27.22804347,27.84650352,27.78570718
Liverpool, West Brom,D,16.48334425,27.48804645,27.98576561,26.38636163,26.39276939,26.9051851,27.50167593,27.50295506
Man United, Bournemouth,H,16.9022795,28.11045308,28.6070514,26.98910135,27.03174702,27.51175102,28.1403135,28.14366477
Newcastle, Everton,A,16.76399627,28.00966921,28.50477867,26.907706,26.93348113,27.4108641,28.04940441,28.03255366
Southampton, Leicester,A,16.43338559,27.81883765,28.32445081,26.72638732,26.75116069,27.21612726,27.86021522,27.8410643
Swansea, Man City,A,16.39482656,28.47817831,28.95186393,27.32912705,27.39408848,27.84112726,28.50219053,28.50040496
West Ham, Arsenal,D,16.76795449,28.38366886,28.85701298,27.23523034,27.28308016,27.76077791,28.36766138,28.40348866
Arsenal, Newcastle,H,17.20174017,29.02734702,29.4882597,27.83797006,27.92505546,28.35361343,29.00963669,29.06282932
Chelsea, Southampton,H,17.19637669,29.61214234,30.06026508,28.38541532,28.51126236,28.92784496,29.59557419,29.67407626
Leicester, Crystal Palace,A,17.01578281,29.35088108,29.81540911,28.13152931,28.26257401,28.66427141,29.34711423,29.41290446
Man City, Tottenham,H,17.00786036,29.84511502,30.31127688,28.66431619,28.76127305,29.15728702,29.84586735,29.91693672
Stoke, West Ham,A,16.85594797,29.71185511,30.17644542,28.52948473,28.63483627,29.03119053,29.7335078,29.7947145
Bournemouth, Liverpool,A,16.73629189,30.2306101,30.68333918,29.05714431,29.14202139,29.5439122,30.23226092,30.31058752
West Brom, Man United,A,16.66445305,30.76780018,31.20192172,29.58480388,29.67299485,30.0704462,30.77756293,30.8477776
Everton, Swansea,H,16.64598899,31.26916754,31.70790148,30.06557311,30.17877519,30.57319849,31.2854115,31.35469004
Arsenal, Liverpool,D,17.05668775,31.67230304,32.11699239,30.447076,30.59776961,30.98269076,31.69219116,31.76905468
Burnley, Tottenham,A,17.00376957,32.22132265,32.67254794,30.94009926,31.15776961,31.52751302,32.25807637,32.31807429
Everton, Chelsea,D,17.38669676,32.03863867,32.47465876,30.8535608,30.97241698,31.35697038,32.10310827,32.11892175
Leicester, Man United,D,17.76162572,31.94863867,32.38909175,30.78285372,30.89927174,31.28810811,32.01789267,32.01678167
Man City, Bournemouth,H,18.18942939,32.60353616,33.05383164,31.44686435,31.5818656,31.91566052,32.70030737,32.66339398
Stoke, West Brom,H,18.58876456,32.9907043,33.43585411,31.42981889,31.97043702,32.30577041,33.09356579,33.04885654
Swansea, Crystal Palace,D,18.99598853,32.98063719,33.42435985,31.79028401,31.95887633,32.29800988,33.07083852,33.02663432
West Ham, Newcastle,A,18.73723004,32.78980563,33.24853568,31.55870506,31.78109855,32.11435807,32.89051065,32.83514495
Bournemouth, West Ham,D,19.15480645,33.16239906,33.6206287,31.94242599,32.14796246,32.48117523,33.26895102,33.20802631
Liverpool, Swansea,H,19.57862971,33.81397657,34.28970646,32.60321894,32.84471096,33.15295045,33.91854979,33.88210787
Man United, Burnley,D,19.50754357,33.44035019,33.92720646,32.32924634,32.42368229,32.76684519,33.57287078,33.56885486
Tottenham, Southampton,H,19.4670296,34.04239715,34.49921184,32.8766916,33.01734984,33.33528625,34.20760823,34.17090182
Watford, Leicester,H,19.88176065,33.97169008,34.41349756,32.82466848,32.93595449,33.27390232,34.14838272,34.09225014
West Brom, Everton,D,20.2549561,34.33368103,34.4020033,33.20257545,32.92418978,33.26721336,34.51619881,34.08436725
Newcastle, Man City,A,20.17777219,34.95272865,35.02941643,33.74055014,33.55160291,33.8726915,35.15817412,34.73036209
Crystal Palace, Arsenal,A,20.05076169,35.38962186,35.475845,34.21345654,33.98527638,34.31176306,35.62194224,35.16725529
Bournemouth, Everton,H,20.05053291,35.75721962,35.84155929,34.16721377,34.35309247,34.68429053,35.59868642,35.53473859
Chelsea, Stoke,H,20.47604883,36.42016449,36.52270804,34.79462689,35.0284997,35.3701025,36.27409365,36.19673235
Liverpool, Leicester,H,20.90599292,37.02125739,37.08885822,35.34070198,35.61132179,35.93787015,36.84371391,36.79782525
Man United, Southampton,D,20.89273075,36.80057643,36.84831941,35.14362169,35.3300511,35.65530026,36.61772521,36.50797018
Watford, Swansea,A,20.68355507,36.42153713,36.4959735,34.84312908,34.98974692,35.29350448,36.29733686,36.14797018
Crystal Palace, Man City,D,20.654394,36.18192052,36.21965771,34.5977303,34.70165828,34.99612978,36.02336425,35.86948917
West Brom, Arsenal,D,20.62052026,36.08863693,36.15136503,34.4795037,34.60361906,34.87684727,35.94821395,35.75533391
Burnley, Liverpool,A,20.4673513,36.64419249,36.70480014,35.00716328,35.13640595,35.42729907,36.49381021,36.31503541
Everton, Man United,A,20.34672178,37.15345175,37.20480014,35.45160772,35.62901679,35.93235887,37.01024214,36.8197083
Stoke, Newcastle,A,20.07632227,37.02019184,37.06996868,35.32166422,35.52556851,35.81315357,36.88664663,36.71725842
Man City, Watford,H,20.48917262,37.68406326,37.71299285,35.98567484,36.21223277,36.44490907,37.56160223,37.40241339
Southampton, Crystal Palace,A,20.14232033,37.45801374,37.48270893,35.83011929,35.97143361,36.2260294,37.32600013,37.19188708
Swansea, Tottenham,A,19.99350216,38.12283368,38.08964535,36.39763396,36.59139641,36.83212486,37.94397766,37.81759811
West Ham, West Brom,H,19.92987622,38.5588678,38.5392819,36.78652285,37.05008285,37.28768042,38.39596096,38.2744509
Arsenal, Chelsea,D,19.90154824,38.95351274,38.9300865,37.16802574,37.45611533,37.67985919,38.7752713,38.66859505
Tottenham, West Ham,D,19.88001949,38.72162868,38.65865793,36.9837254,37.146779,37.36071025,38.5439237,38.35755306
Chelsea, Leicester,D,19.83810556,38.39354469,38.34801503,36.78803069,36.83744267,37.05180973,38.23493494,38.04651107
Crystal Palace, Burnley,H,19.75317607,38.8531974,38.79482354,37.21813821,37.27222528,37.51060932,38.69168599,38.50011931
Newcastle, Swansea,D,20.16534906,38.74039252,38.65636201,37.15498032,37.16052315,37.39713414,38.56860907,38.3795163
Tottenham, Everton,H,20.15301358,39.38141816,39.2892734,37.72249499,37.80812164,38.04934948,39.20724664,39.02022601
Watford, Southampton,D,20.53158322,39.76274549,39.66858374,38.10399788,38.18735151,38.43644626,39.57867522,39.40011427
Bournemouth, Arsenal,H,20.90758006,39.48237166,39.37639474,37.80592096,37.92890221,38.16594673,39.31038253,39.12997209
Liverpool, Man City,H,20.85431824,39.32263424,39.21909137,37.66955733,37.77461649,38.0120166,39.17555107,38.97533292
Man United, Stoke,H,21.29912859,39.96862907,39.80225567,38.27229705,38.449684,38.65517538,39.83576234,39.62132775
Arsenal, Crystal Palace,H,21.74821975,40.49693096,40.31665896,38.80508394,38.9768535,39.19134242,40.3813586,40.1556789
Burnley, Man United,A,21.72047849,41.07563466,40.85968319,39.33274351,39.52910499,39.74840547,40.9472438,40.7156789
Everton, West Brom,D,21.71787738,40.98998156,40.7618571,39.27656374,39.46168926,39.68131282,40.84994651,40.64041008
Leicester, Watford,H,22.18467807,41.41997163,41.20011621,39.70814268,39.89467895,40.12127345,41.28599887,41.07390762
Man City, Newcastle,H,22.63084536,42.12040266,41.8311358,40.35823829,40.61450176,40.78656392,42.00582169,41.74780155
West Ham, Bournemouth,D,23.0342336,42.078736,41.79938977,40.31476002,40.59276263,40.76038591,41.95319011,41.72696822
Southampton, Tottenham,D,23.42504833,41.93413669,41.66449768,40.18976002,40.46081164,40.62323314,41.81866096,41.57345945
Swansea, Liverpool,H,23.40766621,41.3724569,41.14664054,39.73583511,39.90652593,40.06476434,41.27371714,41.00431051
